dataset,seed,ARI,NMI,AMI,Homogeneity,V-measure,Silhouette
10x_human_lymph_node_A1,13,0.3362646843302983,0.4135731916829169,0.40943249678718713,0.4175717976081376,0.4135731916829169,0.26758325
10x_human_lymph_node_A1,2560,0.3293113852717745,0.4146609418082655,0.41047284757561797,0.41119323240962863,0.4146609418082655,0.26945812
10x_human_lymph_node_A1,641,0.3290776961499812,0.41025707425592467,0.406103193479754,0.4157566661629299,0.4102570742559247,0.26785538
10x_human_lymph_node_A1,1892,0.3292301341304462,0.41207947304201403,0.40789642892116684,0.41209556287093807,0.4120794730420141,0.26640067
10x_human_lymph_node_A1,1173,0.33445936742477583,0.40782581907794657,0.4036060027180437,0.40666965662121635,0.40782581907794657,0.2638916
10x_human_lymph_node_A1,69,0.3195962381995174,0.40232308858038823,0.39813045209138,0.4099890769939022,0.4023230885803882,0.24970631
10x_human_lymph_node_A1,2024,0.3233824168064789,0.4060925271825868,0.40194087006705204,0.4140287282882145,0.4060925271825868,0.26553687
10x_human_lymph_node_A1,231,0.30746484381243244,0.3884771580931358,0.3842724206578331,0.40416427600778576,0.38847715809313577,0.26064232
10x_human_lymph_node_A1,1971,0.33661418485009037,0.41269268593575487,0.4085696003102464,0.4193097177775157,0.41269268593575487,0.26391685
10x_human_lymph_node_A1,2497,0.32615663004130196,0.41259539755373875,0.40848324477530623,0.4211376683775188,0.41259539755373875,0.2615043
10x_human_lymph_node_A1,338,0.32977795916610003,0.4106506849111474,0.4064967791555907,0.4149910877583753,0.4106506849111475,0.25919086
10x_human_lymph_node_A1,3127,0.3207245746053781,0.39840824711452016,0.39419797495413234,0.4079964201204203,0.39840824711452016,0.24841705
10x_human_lymph_node_A1,2001,0.3255271803853846,0.40864275211340895,0.40450242756307353,0.41689755710775034,0.40864275211340895,0.25763115
10x_human_lymph_node_A1,2022,0.3281616538993862,0.4133655922367405,0.4091902366796348,0.4093819843147265,0.4133655922367406,0.27373353
10x_human_lymph_node_A1,574,0.3258756451590113,0.4122998321281653,0.4081765630258123,0.41882030977192464,0.41229983212816523,0.25400367
10x_human_lymph_node_A1,2428,0.29964064939084156,0.3851983323488915,0.3810009686289523,0.40372617654933246,0.3851983323488915,0.2573185
10x_human_lymph_node_A1,999,0.3365142573216922,0.41470442553628517,0.41053368777686877,0.410304879318147,0.4147044255362851,0.27052578
10x_human_lymph_node_A1,1187,0.32445266391245325,0.412271222300064,0.40807697603340376,0.4078331036915083,0.41227122230006413,0.25046882
10x_human_lymph_node_A1,42,0.32991527514640007,0.4178197675012414,0.4136709248155595,0.413546856054249,0.4178197675012414,0.26961055
10x_human_lymph_node_A1,3999,0.3406140898799659,0.4198213144412271,0.4156790880304807,0.41529653140605,0.41982131444122706,0.2567035
10x_human_lymph_node_D1,13,0.2537962793561721,0.3515771504590341,0.3461138031961792,0.39132172679229554,0.35157715045903415,0.21337168
10x_human_lymph_node_D1,2560,0.2661195152713093,0.347673671225391,0.34214960717073317,0.381894709476968,0.3476736712253911,0.21701594
10x_human_lymph_node_D1,641,0.2537818804336092,0.3563839882167553,0.3509430615235187,0.39224359440965634,0.3563839882167554,0.2227592
10x_human_lymph_node_D1,1892,0.28905248941628764,0.359214444137114,0.35372882552349627,0.3894254276990257,0.359214444137114,0.22655715
10x_human_lymph_node_D1,1173,0.29256159287151595,0.3623650991253612,0.35689765557285125,0.3924318657415211,0.36236509912536125,0.21793701
10x_human_lymph_node_D1,69,0.24764699379156804,0.3597914328286155,0.354457889076364,0.4008327136488092,0.3597914328286155,0.2048106
10x_human_lymph_node_D1,2024,0.2511733522997543,0.35980402390543537,0.3544255791333473,0.39819669836837823,0.35980402390543537,0.21185772
10x_human_lymph_node_D1,231,0.2587742720122233,0.3559737655678131,0.3505563586922177,0.3970401467859259,0.35597376556781307,0.21032439
