dataset,seed,ARI,NMI,AMI,Homogeneity,V-measure,Silhouette
10x_human_lymph_node_D1,13,0.2537962793561721,0.3515771504590341,0.3461138031961792,0.39132172679229554,0.35157715045903415,0.21337168
10x_human_lymph_node_D1,2560,0.2661195152713093,0.347673671225391,0.34214960717073317,0.381894709476968,0.3476736712253911,0.21701594
10x_human_lymph_node_D1,641,0.2537818804336092,0.3563839882167553,0.3509430615235187,0.39224359440965634,0.3563839882167554,0.2227592
10x_human_lymph_node_D1,1892,0.28905248941628764,0.359214444137114,0.35372882552349627,0.3894254276990257,0.359214444137114,0.22655715
10x_human_lymph_node_D1,1173,0.29256159287151595,0.3623650991253612,0.35689765557285125,0.3924318657415211,0.36236509912536125,0.21793701
10x_human_lymph_node_D1,69,0.24764699379156804,0.3597914328286155,0.354457889076364,0.4008327136488092,0.3597914328286155,0.2048106
10x_human_lymph_node_D1,2024,0.2511733522997543,0.35980402390543537,0.3544255791333473,0.39819669836837823,0.35980402390543537,0.21185772
10x_human_lymph_node_D1,231,0.2587742720122233,0.3559737655678131,0.3505563586922177,0.3970401467859259,0.35597376556781307,0.21032439
10x_human_lymph_node_D1,1971,0.2633612748751524,0.36215059238392167,0.35676838550198064,0.3987181852027289,0.36215059238392167,0.21017846
10x_human_lymph_node_D1,2497,0.3138590269450641,0.3664968784902365,0.36106527857837445,0.38601833043793804,0.36649687849023643,0.23921329
10x_human_lymph_node_D1,338,0.26104330384275226,0.36070378419378074,0.3553212406446908,0.3856861217176986,0.36070378419378074,0.2119988
10x_human_lymph_node_D1,3127,0.2648827215129699,0.3673494779469372,0.3620122619421818,0.4057458087530309,0.3673494779469371,0.21915275
10x_human_lymph_node_D1,2001,0.24595615879324614,0.35218971995350346,0.3467726312294761,0.3938625038395496,0.3521897199535034,0.20186214
10x_human_lymph_node_D1,2022,0.27054742840803814,0.36312736760429487,0.3577056966558931,0.3958675634843775,0.3631273676042948,0.21855192
10x_human_lymph_node_D1,574,0.26917199608196635,0.3551213014877106,0.34964693838679567,0.38749760006134937,0.3551213014877105,0.21291883
10x_human_lymph_node_D1,2428,0.2336042212591899,0.3574377617868066,0.3520609928824108,0.39690617731156774,0.35743776178680653,0.2128867
10x_human_lymph_node_D1,999,0.2682520390617967,0.36812398583972405,0.3627911947397079,0.39460915113837886,0.36812398583972405,0.1983273
10x_human_lymph_node_D1,1187,0.2557221199515085,0.355713604988552,0.35030493090188963,0.3977331517843908,0.3557136049885519,0.21429652
10x_human_lymph_node_D1,42,0.25527033652841485,0.35798098870510414,0.3525878362449857,0.40020477951752836,0.3579809887051042,0.21414377
10x_human_lymph_node_D1,3999,0.2497809215582902,0.3533968839032809,0.34805329953990255,0.39011309661659455,0.35339688390328083,0.20704383
