dataset,seed,ARI,NMI,AMI,Homogeneity,V-measure,Silhouette
Mouse_Brain_E13_S1,13,0.182490573360223,0.3836336465512296,0.37358195618180046,0.4768224891250002,0.3836336465512296,0.083300985
Mouse_Brain_E13_S1,2560,0.22141073308412834,0.4113152882655472,0.40167361453373834,0.5072624058271056,0.41131528826554714,0.097211845
Mouse_Brain_E13_S1,641,0.17744914173178433,0.3716515800048524,0.3613725874163725,0.4593890671418269,0.3716515800048524,0.08997314
Mouse_Brain_E13_S1,1892,0.16756167572041544,0.37335209039618183,0.36311933016737213,0.4629356318134473,0.3733520903961819,0.09473401
Mouse_Brain_E13_S1,1173,0.18724643668448818,0.37866375612512104,0.36845678074664906,0.4639115097535845,0.378663756125121,0.094696164
Mouse_Brain_E13_S1,69,0.1615565866957149,0.3464523995508307,0.33569839310719907,0.4244761200229008,0.3464523995508307,0.093017034
Mouse_Brain_E13_S1,2024,0.19186956432824084,0.37834570793420064,0.36813255855748434,0.46449690081977235,0.37834570793420075,0.10490298
Mouse_Brain_E13_S1,231,0.18824864458316737,0.40313064339302546,0.3933819358123181,0.5000107917091736,0.40313064339302546,0.09480989
Mouse_Brain_E13_S1,1971,0.1819614923829159,0.37766949294289426,0.36752222664030976,0.46954236694420604,0.3776694929428942,0.09792063
Mouse_Brain_E13_S1,2497,0.16727602634098618,0.35655349486536314,0.34604087722854543,0.4418775297168335,0.3565534948653631,0.09500355
Mouse_Brain_E13_S1,338,0.17606901001741854,0.3715195739865763,0.3612433642339106,0.45964995239328316,0.3715195739865764,0.094809204
Mouse_Brain_E13_S1,3127,0.20813586487990557,0.3948427012709055,0.38494925452858386,0.48871331816745295,0.3948427012709056,0.0889873
Mouse_Brain_E13_S1,2001,0.18645324718497414,0.38952381935529223,0.3795560938571747,0.48314369732190626,0.38952381935529223,0.08957062
Mouse_Brain_E13_S1,2022,0.19024792601723925,0.38337735976234605,0.37327552006130255,0.47305749665933755,0.383377359762346,0.09960082
Mouse_Brain_E13_S1,574,0.16728033821308813,0.3756007044588912,0.36539303542806434,0.4642639504851629,0.3756007044588912,0.10075982
Mouse_Brain_E13_S1,2428,0.1714848104326024,0.3741459935661742,0.3639440940730536,0.4653800276732243,0.3741459935661741,0.08875834
Mouse_Brain_E13_S1,999,0.16720375219053854,0.3668550887922567,0.35648003872524864,0.45195622249442513,0.3668550887922567,0.0917246
Mouse_Brain_E13_S1,1187,0.18696728861613443,0.38590559797723134,0.37588858204657055,0.47941649665980834,0.3859055979772313,0.08656579
Mouse_Brain_E13_S1,42,0.16277252611107776,0.36027633659762254,0.34985366161074805,0.4485208589818289,0.3602763365976224,0.08528715
Mouse_Brain_E13_S1,3999,0.18253612207544073,0.38369741797753454,0.373634296305855,0.47570380401243445,0.38369741797753454,0.09204791
