dataset,seed,ARI,NMI,AMI,Homogeneity,V-measure,Silhouette
10x_human_lymph_node_A1,13,0.25344789167624554,0.3545768502930108,0.35037960745772373,0.3959171436703524,0.35457685029301084,0.15289164
10x_human_lymph_node_A1,2560,0.27367342716068915,0.38095163335901777,0.3769190566782989,0.4229236469367293,0.38095163335901777,0.09325593
10x_human_lymph_node_A1,641,0.28985622053074395,0.3891138143954965,0.3850860917119103,0.42523852099036463,0.38911381439549647,0.10640514
10x_human_lymph_node_A1,1892,0.25416455939601196,0.34807639490119324,0.3436659331663845,0.3731606016255578,0.34807639490119324,0.15869942
10x_human_lymph_node_A1,1173,0.2651393681127774,0.37777747306287424,0.37376141193337975,0.42076225504448084,0.3777774730628743,0.12635647
10x_human_lymph_node_A1,69,0.2491672486636916,0.35920653436999045,0.3550435583608604,0.3995937664443264,0.3592065343699905,0.14366657
10x_human_lymph_node_A1,2024,0.241856923128965,0.3683149380323861,0.36425338745030084,0.4151202167998039,0.3683149380323862,0.10272455
10x_human_lymph_node_A1,231,0.26000803118462756,0.3640894372654221,0.3598538949566625,0.395493232336529,0.36408943726542214,0.13028693
10x_human_lymph_node_A1,1971,0.26884156075827714,0.3680067120453744,0.36382606122069916,0.4011815546706028,0.36800671204537444,0.11212057
10x_human_lymph_node_A1,2497,0.2634063432661673,0.3681138820040571,0.3638915243324394,0.39840016314096033,0.3681138820040571,0.111727655
10x_human_lymph_node_A1,338,0.2550104254097088,0.36106505952032564,0.35686471197576086,0.39824088372672695,0.3610650595203257,0.14027925
10x_human_lymph_node_A1,3127,0.2579526076466733,0.3653065184694558,0.3611337467799195,0.40097913007385133,0.3653065184694557,0.1293461
10x_human_lymph_node_A1,2001,0.2486582066048858,0.3714524845752326,0.36730433022595,0.40739034557564296,0.3714524845752327,0.13951252
10x_human_lymph_node_A1,2022,0.2803299800510014,0.38706938009360514,0.38313731269880114,0.4373128774511758,0.38706938009360514,0.12386149
10x_human_lymph_node_A1,574,0.25617946944181197,0.3705650197575151,0.3665335019660406,0.4183402842263749,0.37056501975751516,0.12360525
10x_human_lymph_node_A1,2428,0.2400753063576037,0.3600805489003675,0.35597151805635446,0.4070482646891568,0.36008054890036745,0.10326558
10x_human_lymph_node_A1,999,0.2751816392597338,0.3801650494041327,0.37614623405133374,0.4198507283612476,0.3801650494041327,0.11153054
10x_human_lymph_node_A1,1187,0.22463340213331512,0.3592291278979972,0.35519018695696813,0.4138536675398744,0.3592291278979972,0.10527608
10x_human_lymph_node_A1,42,0.24285954628756656,0.35536771354731395,0.3511205785121541,0.38940430767707085,0.3553677135473139,0.12035514
10x_human_lymph_node_A1,3999,0.2677298656397299,0.3825638241603183,0.37856697555431085,0.4286263449055063,0.3825638241603183,0.111650154
10x_human_lymph_node_D1,13,0.18806836555465917,0.3508771208007893,0.3455656090266173,0.4060587350045177,0.35087712080078926,0.11049967
10x_human_lymph_node_D1,2560,0.21713396848244443,0.3537542181885259,0.34843382707790704,0.40409985584652347,0.35375421818852587,0.0894608
