dataset,seed,ARI,NMI,AMI,Homogeneity,V-measure,Silhouette
10x_human_lymph_node_D1,13,0.25008997640407915,0.3663418223372613,0.36106266194342584,0.4133809385173117,0.36634182233726126,0.09298701
10x_human_lymph_node_D1,2560,0.19986917464772477,0.35000035894094983,0.34482538324535617,0.4136443710737397,0.35000035894094983,0.09293597
10x_human_lymph_node_D1,641,0.19407064067933233,0.34182760036161874,0.3365485079505895,0.40103047449031093,0.3418276003616188,0.086309515
10x_human_lymph_node_D1,1892,0.16720116359160977,0.33480184287166,0.32944120051921794,0.39363749381894103,0.33480184287166004,0.094446115
10x_human_lymph_node_D1,1173,0.17548088520890867,0.3313521786897713,0.3260487690636909,0.39601235392243483,0.33135217868977124,0.09957311
10x_human_lymph_node_D1,69,0.21409730929817708,0.35203958550801306,0.3468620235422886,0.41737559338533503,0.35203958550801306,0.10673953
10x_human_lymph_node_D1,2024,0.17352118367485014,0.3395391338963428,0.33430620219377105,0.40645835447303313,0.33953913389634277,0.08772078
10x_human_lymph_node_D1,231,0.18073371141023564,0.33382001943572,0.32845675037151034,0.3918124251711036,0.33382001943572004,0.098977074
10x_human_lymph_node_D1,1971,0.20866715151852291,0.3576584161369022,0.3524386075651514,0.4133917437379569,0.35765841613690214,0.084625505
10x_human_lymph_node_D1,2497,0.19247314023016807,0.3502618543759382,0.34509618620075794,0.41733833342873766,0.3502618543759382,0.10483077
10x_human_lymph_node_D1,338,0.19157960136048316,0.36641712213112804,0.36139176494834807,0.43772712340942915,0.3664171221311281,0.094642706
10x_human_lymph_node_D1,3127,0.2366220630899935,0.36823106758619,0.36304507382302453,0.4231886487298635,0.36823106758619,0.11474273
10x_human_lymph_node_D1,2001,0.2142474700759995,0.36816851018435953,0.3630942983438243,0.4333214958955164,0.3681685101843596,0.09837526
10x_human_lymph_node_D1,2022,0.17887826559020736,0.3371106739969351,0.3317794127795139,0.39418977805653566,0.3371106739969351,0.089921884
10x_human_lymph_node_D1,574,0.21025675254148624,0.34084212649002515,0.335477636934865,0.39483277242625936,0.34084212649002515,0.08856757
10x_human_lymph_node_D1,2428,0.1918969340447466,0.3401686232541417,0.3347759223085638,0.3908905531016038,0.34016862325414166,0.07831182
10x_human_lymph_node_D1,999,0.1840604735094085,0.3448092416661813,0.33958707435397406,0.4066512857320919,0.3448092416661813,0.09410531
10x_human_lymph_node_D1,1187,0.22897666771577985,0.36363889314494324,0.35849851237881986,0.425353819742821,0.36363889314494324,0.082538046
10x_human_lymph_node_D1,42,0.1859425915915538,0.34379644943476945,0.33857513593002486,0.4093056998502746,0.34379644943476945,0.10327269
10x_human_lymph_node_D1,3999,0.1651956043597183,0.3361977291041768,0.3309282626916676,0.40159280220298155,0.3361977291041768,0.09239758
