dataset,seed,ARI,NMI,AMI,Homogeneity,V-measure,Silhouette
10x_human_lymph_node_D1,13,0.1937303481791833,0.34443170322788486,0.3390723188048738,0.3973474316218449,0.3444317032278848,0.08101097
10x_human_lymph_node_D1,2560,0.14804185528701774,0.32299645024158025,0.3175891034348975,0.381770658569777,0.3229964502415803,0.095405236
10x_human_lymph_node_D1,641,0.15827500424838573,0.3133838175292081,0.30783190090538226,0.36591768090734117,0.31338381752920813,0.075720675
10x_human_lymph_node_D1,1892,0.17329539515601342,0.3374362320282278,0.33200711282964407,0.38751424648816,0.3374362320282278,0.10873992
10x_human_lymph_node_D1,1173,0.18987999194623248,0.32622985722721803,0.3207524100092983,0.37834355372148454,0.3262298572272181,0.07460712
10x_human_lymph_node_D1,69,0.1489322095111597,0.32154019520251276,0.3161121755247772,0.37986315452004815,0.32154019520251276,0.07961122
10x_human_lymph_node_D1,2024,0.22036977715586292,0.35571600176373014,0.3504427198482352,0.40783190996476215,0.3557160017637301,0.078068614
10x_human_lymph_node_D1,231,0.1464860518127039,0.3190536034967557,0.31363339883712843,0.3803727843760261,0.31905360349675566,0.09201761
10x_human_lymph_node_D1,1971,0.20104116056207896,0.3466120449252416,0.3412922518186167,0.3988344253684008,0.3466120449252416,0.08960442
10x_human_lymph_node_D1,2497,0.1620871584886136,0.32205873553666525,0.3166307939500261,0.38051050447543977,0.3220587355366652,0.08628513
10x_human_lymph_node_D1,338,0.1914847156015602,0.35184054222126127,0.3465940927047949,0.4084536959386537,0.3518405422212612,0.08930193
10x_human_lymph_node_D1,3127,0.20005384426072328,0.3373061448737272,0.33194053684689045,0.39360755322714797,0.33730614487372723,0.09363316
10x_human_lymph_node_D1,2001,0.15266485319627568,0.3277346141771127,0.3223623314587226,0.3872512529351318,0.3277346141771127,0.09299891
10x_human_lymph_node_D1,2022,0.1573633483202349,0.32347372023344684,0.31804689333860625,0.3811503809659014,0.32347372023344684,0.091746576
10x_human_lymph_node_D1,574,0.14955234284212254,0.3240763763564305,0.3186637781978391,0.3817094288743092,0.3240763763564305,0.06568962
10x_human_lymph_node_D1,2428,0.15834957110375114,0.33126178611948776,0.3258806277035068,0.3890186237347461,0.33126178611948776,0.1139414
10x_human_lymph_node_D1,999,0.1684732967913365,0.3395970464463612,0.3343140284963034,0.4012245664171038,0.3395970464463612,0.09441841
10x_human_lymph_node_D1,1187,0.17546306859596125,0.3360268388299415,0.33062160932331336,0.387762915280813,0.33602683882994144,0.08241592
10x_human_lymph_node_D1,42,0.16536399632197044,0.3220155381456992,0.31650669615309257,0.37372155820240505,0.3220155381456992,0.110016465
10x_human_lymph_node_D1,3999,0.18332151502273117,0.3433849424888525,0.3379728353708793,0.3925924848554853,0.3433849424888525,0.1208545
